date,canton,region,y
2020-04-01,AG,3,3.00487837978936
2020-04-01,AI,5,0.0267683561360847
2020-04-01,AR,5,0.296350404689683
2020-04-01,BE,2,3.52710450937426
2020-04-01,BL,3,1.44704119263341
2020-04-01,BS,3,0.775009620979367
2020-04-01,FR,2,1.19273593530845
2020-04-01,GE,1,4.13750573564975
2020-04-01,GL,5,0.0593300743863545
2020-04-01,GR,5,0.359142242026517
2020-04-01,JU,2,0.322312060409706
2020-04-01,LU,6,2.26434032071518
2020-04-01,NE,2,0.909628731915074
2020-04-01,NW,6,0.114592577305895
2020-04-01,OW,6,0.06409273965827
2020-04-01,SG,5,2.81663053007771
2020-04-01,SH,5,0.399892752704104
2020-04-01,SO,2,1.23294133580198
2020-04-01,SZ,6,0.817049285914078
2020-04-01,TG,5,1.5951889828282
2020-04-01,TI,7,2.74320121210889
2020-04-01,UR,6,0.165005870879759
2020-04-01,VD,1,5.51704724997453
2020-04-01,VS,1,1.98938157472832
2020-04-01,ZG,6,0.218391033122308
2020-04-01,ZH,4,7.29661544493657
2021-04-01,AG,3,2.62055102909382
2021-04-01,AI,5,0.0297445324283523
2021-04-01,AR,5,0.309788232251415
2021-04-01,BE,2,4.25990333528212
2021-04-01,BL,3,1.50869660054917
2021-04-01,BS,3,1.03882571956884
2021-04-01,FR,2,1.59860375352143
2021-04-01,GE,1,6.81185232603274
2021-04-01,GL,5,0.0987460049581452
2021-04-01,GR,5,0.567881065510429
2021-04-01,JU,2,0.489895064997282
2021-04-01,LU,6,2.9214346201992
2021-04-01,NE,2,1.20141305560899
2021-04-01,NW,6,0.138674934338208
2021-04-01,OW,6,0.091843233970803
2021-04-01,SG,5,3.55582265258393
2021-04-01,SH,5,0.554506285893836
2021-04-01,SO,2,1.52773433876609
2021-04-01,SZ,6,1.15509043802842
2021-04-01,TG,5,2.04859847609514
2021-04-01,TI,7,4.90099207194803
2021-04-01,UR,6,0.227203256162427
2021-04-01,VD,1,8.72035278559939
2021-04-01,VS,1,2.74307668262718
2021-04-01,ZG,6,0.352772441556777
2021-04-01,ZH,4,8.84757218242737
2022-04-01,AG,3,2.79462131479425
2022-04-01,AI,5,0.0213642465527567
2022-04-01,AR,5,0.29852418818947
2022-04-01,BE,2,4.34678457848985
2022-04-01,BL,3,1.07314455663798
2022-04-01,BS,3,1.01359870947044
2022-04-01,FR,2,1.32704528894848
2022-04-01,GE,1,5.00451209864026
